"n";"left";"right";"middle";"random"
73;3.1121360000000053;3.2417920000000056;3.1765230000000058;3.189417003881123
74;3.2417920000000056;3.3750000000000058;3.307949000000006;3.2538274815717267
75;3.3750000000000058;3.5118080000000065;3.442951000000006;3.409884958061913
76;3.5118080000000065;3.6522640000000064;3.5815770000000064;3.567464932106325
77;3.6522640000000064;3.796416000000007;3.7238750000000067;3.7221826057518768
78;3.796416000000007;3.944312000000007;3.869893000000007;3.9315087960345836
79;3.944312000000007;4.096000000000007;4.019679000000007;4.05881811833965
80;4.096000000000007;4.2515280000000075;4.173281000000007;4.16988012992034
81;4.2515280000000075;4.410944000000008;4.330747000000008;4.326648724204668
82;4.410944000000008;4.574296000000008;4.492125000000009;4.461163653608915
83;4.574296000000008;4.741632000000009;4.657463000000009;4.652524719231267
84;4.741632000000009;4.913000000000009;4.826809000000009;4.803489448652154
85;4.913000000000009;5.088448000000009;5.000211000000009;5.0202034067541685
86;5.088448000000009;5.26802400000001;5.17771700000001;5.210716739651211
87;5.26802400000001;5.45177600000001;5.35937500000001;5.422863303344601
88;5.45177600000001;5.639752000000011;5.54523300000001;5.470071463018208
89;5.639752000000011;5.832000000000011;5.735339000000011;5.759354665419842
90;5.832000000000011;6.0285680000000115;5.9297410000000115;6.016793035088186
91;6.0285680000000115;6.229504000000012;6.128487000000012;6.048519119735519
92;6.229504000000012;6.434856000000012;6.331625000000012;6.2392663565903215
93;6.434856000000012;6.644672000000013;6.539203000000013;6.551391532090463
94;6.644672000000013;6.859000000000013;6.751269000000013;6.853089712488047
95;6.859000000000013;7.077888000000014;6.967871000000014;6.89714401912104
96;7.077888000000014;7.301384000000015;7.189057000000014;7.078787581224971
97;7.301384000000015;7.529536000000015;7.4148750000000145;7.461491828512243
98;7.529536000000015;7.762392000000015;7.645373000000015;7.539691389192591
99;7.762392000000015;8.000000000000016;7.880599000000016;7.958296706725238
"cnt:180";3.955679012345653;4.044567901234541;3.999938271604912;3.997239910551909
0;0;1.3717421124828535e-06;1.7146776406035668e-07;5.369333036845593e-11
1;1.3717421124828535e-06;1.0973936899862828e-05;4.6296296296296296e-06;5.271885479902394e-06
2;1.0973936899862828e-05;3.7037037037037037e-05;2.1433470507544577e-05;2.480988603042236e-05
3;3.7037037037037037e-05;8.779149519890262e-05;5.8813443072702335e-05;4.749467249927811e-05
4;8.779149519890262e-05;0.0001714677640603567;0.00012500000000000003;0.0001060470162570022
5;0.0001714677640603567;0.0002962962962962963;0.00022822359396433475;0.0001792143522265625
6;0.0002962962962962963;0.0004705075445816187;0.00037671467764060346;0.0003247253064836089
7;0.0004705075445816187;0.000702331961591221;0.0005787037037037039;0.000688772522536425
8;0.000702331961591221;0.0010000000000000002;0.0008424211248285322;0.0007492034002559038
9;0.0010000000000000002;0.0013717421124828536;0.0011760973936899867;0.001075864205489268
10;0.0013717421124828536;0.001825788751714678;0.0015879629629629631;0.001377081396239381
11;0.001825788751714678;0.0023703703703703703;0.002086248285322359;0.0021962745186123395
12;0.0023703703703703703;0.0030137174211248277;0.0026791838134430732;0.0029215930311898043
13;0.0030137174211248277;0.0037640603566529473;0.003374999999999998;0.0034678370932330494
14;0.0037640603566529473;0.004629629629629627;0.004181927297668037;0.003807231133174767
15;0.004629629629629627;0.005618655692729762;0.00510819615912208;0.00479606849142996
16;0.005618655692729762;0.006739368998628251;0.006162037037037033;0.00595728257618249
17;0.006739368998628251;0.007999999999999991;0.007351680384087783;0.007090974054227733
18;0.007999999999999991;0.009408779149519878;0.008685356652949238;0.00819308060963695
19;0.009408779149519878;0.010973936899862811;0.010171296296296282;0.010774696531564647
20;0.010973936899862811;0.012703703703703686;0.011817729766803828;0.012480835347881945
21;0.012703703703703686;0.0146063100137174;0.013632887517146754;0.014379936641605156
22;0.0146063100137174;0.01668998628257885;0.01562499999999998;0.016174639796648398
23;0.01668998628257885;0.01896296296296294;0.017802297668038376;0.017771450639364687
24;0.01896296296296294;0.021433470507544558;0.02017301097393688;0.021398571121514835
25;0.021433470507544558;0.024109739368998608;0.022745370370370343;0.023943453394257054
26;0.024109739368998608;0.026999999999999982;0.025527606310013704;0.02517935088460696
27;0.026999999999999982;0.030112482853223578;0.028527949245541813;0.02936206852306924
28;0.030112482853223578;0.0334554183813443;0.031754629629629626;0.031671421339692744
29;0.0334554183813443;0.03703703703703703;0.035215877914951975;0.03491238804101554
30;0.03703703703703703;0.04086556927297668;0.03891992455418382;0.0375715307466062
31;0.04086556927297668;0.04494924554183814;0.04287499999999999;0.043680349285627834
32;0.04494924554183814;0.04929629629629631;0.04708933470507547;0.04625689867613431
33;0.04929629629629631;0.053914951989026086;0.05157115912208505;0.0512768711965665
34;0.053914951989026086;0.05881344307270236;0.05632870370370374;0.05709085815839663
35;0.05881344307270236;0.06400000000000004;0.06137019890260633;0.06039978815819955
36;0.06400000000000004;0.06948285322359402;0.06670387517146782;0.06498028192402822
37;0.06948285322359402;0.07527023319615918;0.072337962962963;0.07338878870811799
38;0.07527023319615918;0.08137037037037044;0.07828069272976688;0.0752996684006842
39;0.08137037037037044;0.0877914951989027;0.08454029492455424;0.08142963121293095
40;0.0877914951989027;0.09454183813443083;0.09112500000000011;0.09233070228703132
41;0.09454183813443083;0.10162962962962974;0.09804303840877923;0.1013978546702549
42;0.10162962962962974;0.10906310013717434;0.10530264060356667;0.10435227245000946
43;0.10906310013717434;0.11685048010973952;0.11291203703703716;0.10930409333626659
44;0.11685048010973952;0.12500000000000017;0.12087945816186575;0.12324411229972994
45;0.12500000000000017;0.13351989026063116;0.12921313443072718;0.13168663405120137
46;0.13351989026063116;0.1424183813443074;0.13792129629629643;0.13664867263800135
47;0.1424183813443074;0.15170370370370378;0.14701217421124838;0.14401625822908248
48;0.15170370370370378;0.16138408779149527;0.15649399862825797;0.15813782773539328
49;0.16138408779149527;0.1714677640603567;0.16637500000000005;0.16425188526698686
50;0.1714677640603567;0.18196296296296294;0.17666340877914952;0.17596285499136366
51;0.18196296296296294;0.19287791495198897;0.18736745541838132;0.1912928373017948
52;0.19287791495198897;0.20422085048010963;0.1984953703703703;0.19498059825111172
53;0.20422085048010963;0.21599999999999986;0.21005538408779137;0.20783658617086806
54;0.21599999999999986;0.2282235939643345;0.22205572702331944;0.2261881595563151
55;0.2282235939643345;0.2408998628257885;0.2345046296296294;0.22933988444197717
56;0.2408998628257885;0.25403703703703673;0.24741032235939617;0.2442446636195271
57;0.25403703703703673;0.2676433470507541;0.2607810356652946;0.25680433739072484
58;0.2676433470507541;0.28172702331961547;0.2746249999999996;0.2769730481886163
59;0.28172702331961547;0.2962962962962958;0.2889504458161861;0.2884911683424982
60;0.2962962962962958;0.31135939643346994;0.303765603566529;0.2998028535621423
61;0.31135939643346994;0.3269245541838128;0.3190787037037031;0.3239290929393368
62;0.3269245541838128;0.3429999999999993;0.3348979766803834;0.3302758933352047
63;0.3429999999999993;0.35959396433470425;0.3512316529492448;0.3553822285565377
64;0.35959396433470425;0.3767146776406027;0.36808796296296215;0.3730512305740632
65;0.3767146776406027;0.39437037037036937;0.38547513717421034;0.3841791349828495
66;0.39437037037036937;0.41256927297667934;0.40340140603566427;0.4078355540200827
67;0.41256927297667934;0.43131961591220735;0.4218749999999989;0.42994209741909095
68;0.43131961591220735;0.4506296296296283;0.44090414951988904;0.4486275053073132
69;0.4506296296296283;0.47050754458161725;0.4604970850480096;0.4539955150009898
70;0.47050754458161725;0.490961591220849;0.4806620370370356;0.49019572958268154
71;0.490961591220849;0.5119999999999983;0.5014072359396418;0.5019385940437437
72;0.5119999999999983;0.5336310013717404;0.5227409122085032;0.5247444015012225
73;0.5336310013717404;0.5558628257887498;0.5446712962962945;0.5551025146194639
74;0.5558628257887498;0.5787037037037017;0.5672066186556908;0.5568865510413072
75;0.5787037037037017;0.6021618655692709;0.5903551097393669;0.6011838738787738
76;0.6021618655692709;0.6262455418381322;0.6141249999999978;0.6218964375730358
77;0.6262455418381322;0.6509629629629605;0.6385245198902583;0.6434548334335333
78;0.6509629629629605;0.6763223593964309;0.6635618998628233;0.6586675702317355
79;0.6763223593964309;0.7023319615912181;0.6892453703703677;0.6767672183659097
80;0.7023319615912181;0.7289999999999971;0.7155831618655665;0.7023972305531329
81;0.7289999999999971;0.7563347050754428;0.7425835048010944;0.7345123422602015
82;0.7563347050754428;0.78434430727023;0.7702546296296264;0.7639603654409105
83;0.78434430727023;0.8130370370370336;0.7986047668038375;0.8086496519023479
84;0.8130370370370336;0.8424211248285286;0.8276421467764025;0.8150998982463754
85;0.8424211248285286;0.8725048010973898;0.8573749999999962;0.856232886671116
86;0.8725048010973898;0.9032962962962923;0.8878115569272937;0.8946258202731807
87;0.9032962962962923;0.9348038408779107;0.9189600480109698;0.913006723125868
88;0.9348038408779107;0.9670356652949201;0.9508287037036993;0.9508667699314446
89;0.9670356652949201;0.9999999999999953;0.9834257544581573;0.9926671527883005
90;0.9999999999999953;1.0337050754458113;1.0167594307270185;1.0319704392431222
91;1.0337050754458113;1.0681591220850428;1.050837962962958;1.0544622098371637
92;1.0681591220850428;1.103370370370365;1.0856695816186503;1.0800340203958283
93;1.103370370370365;1.1393470507544525;1.121262517146771;1.1248915740670558
94;1.1393470507544525;1.1760973936899803;1.1576249999999944;1.161943660323492
95;1.1760973936899803;1.2136296296296236;1.1947652606309953;1.2128274683884366
96;1.2136296296296236;1.2519519890260566;1.2326915294924492;1.2276610152515963
97;1.2519519890260566;1.291072702331955;1.2714120370370305;1.2812761437046467
98;1.291072702331955;1.330999999999993;1.3109350137174143;1.316903372079708
99;1.330999999999993;1.371742112482846;1.3512686899862756;1.3622736137899527
100;1.371742112482846;1.4133072702331886;1.392421296296289;1.4022445584803953
101;1.4133072702331886;1.455703703703696;1.4344010631001296;1.4263530298263298
102;1.455703703703696;1.4989396433470425;1.4772162208504722;1.4942519901082971
103;1.4989396433470425;1.5430233196159038;1.5208749999999918;1.5013072998235073
104;1.5430233196159038;1.5879629629629541;1.5653856310013632;1.5475863752483154
105;1.5879629629629541;1.6337668038408688;1.6107563443072612;1.6032047068939446
106;1.6337668038408688;1.6804430727023225;1.656995370370361;1.6398528634517133
107;1.6804430727023225;1.7279999999999902;1.7041109396433374;1.6875113818597653
108;1.7279999999999902;1.7764458161865468;1.7521112825788652;1.7568186822129228
109;1.7764458161865468;1.8257887517146671;1.8010046296296194;1.817249566814995
110;1.8257887517146671;1.876037037037026;1.8507992112482747;1.8487362814415331
111;1.876037037037026;1.9271989026062988;1.9015032578875062;1.905915253928717
112;1.9271989026062988;1.9792825788751598;1.9531249999999885;1.9277003773147354
113;1.9792825788751598;2.032296296296284;2.0056726680383967;1.9873368111407383
114;2.032296296296284;2.086248285322347;2.059154492455406;2.081393339854698
115;2.086248285322347;2.141146776406023;2.113578703703691;2.0885793491551006
116;2.141146776406023;2.1969999999999867;2.1689535322359266;2.1807978699605135
117;2.1969999999999867;2.2538161865569135;2.2252872085047875;2.214839696379513
118;2.2538161865569135;2.3116035665294783;2.282587962962949;2.2664119135118326
119;2.3116035665294783;2.3703703703703556;2.3408640260630857;2.3412244368603043
120;2.3703703703703556;2.430124828532221;2.4001236282578726;2.421051127919633
121;2.430124828532221;2.4908751714677484;2.460374999999985;2.4404535244098993
122;2.4908751714677484;2.552629629629614;2.5216263717420966;2.493387080549588
123;2.552629629629614;2.615396433470491;2.5838859739368836;2.5881415942784423
124;2.615396433470491;2.6791838134430557;2.6471620370370204;2.6318186552153167
125;2.6791838134430557;2.7439999999999825;2.711462791495182;2.6818547438530804
126;2.7439999999999825;2.8098532235939464;2.7767964677640427;2.7762300126601955
127;2.8098532235939464;2.876751714677622;2.843171296296278;2.853707342717052
128;2.876751714677622;2.9447037037036847;2.9105955075445626;2.8873587771129787
129;2.9447037037036847;3.013717421124809;2.9790773319615718;2.950209316915753
130;3.013717421124809;3.08380109739367;3.04862499999998;3.0484989529836635
131;3.08380109739367;3.154962962962942;3.1192467421124626;3.0918313565618822
132;3.154962962962942;3.2272112482853013;3.1909507887516937;3.219737935585488
133;3.2272112482853013;3.3005541838134214;3.2637453703703487;3.2468420874036847
134;3.3005541838134214;3.3749999999999774;3.3376387174211026;3.3428698591307415
135;3.3749999999999774;3.450556927297645;3.4126390603566303;3.4474844595993033
136;3.450556927297645;3.5272331961590986;3.4887546296296064;3.497664515134967
137;3.5272331961590986;3.605037037037013;3.5659936556927057;3.5674240711170406
138;3.605037037037013;3.683976680384063;3.6443643689986036;3.6342824190334255
139;3.683976680384063;3.764060356652924;3.7238749999999747;3.7630162600298953
140;3.764060356652924;3.84529629629627;3.804533779149494;3.8125434544575443
141;3.84529629629627;3.9276927297667767;3.8863489368998363;3.855948887946483
142;3.9276927297667767;4.011257887517119;3.9693287037036766;3.966126248570043
143;4.011257887517119;4.095999999999972;4.053481310013689;4.07278617891186
144;4.095999999999972;4.181927297668009;4.13881498628255;4.101376429423559
145;4.181927297668009;4.269048010973907;4.225337962962934;4.2490989289224785
146;4.269048010973907;4.35737037037034;4.313058470507515;4.290862650803511
147;4.35737037037034;4.446902606309982;4.4019847393689675;4.400237370628149
148;4.446902606309982;4.53765294924551;4.492124999999969;4.497640088229178
149;4.53765294924551;4.629629629629597;4.583487482853191;4.601812392455663
150;4.629629629629597;4.722840877914918;4.676080418381312;4.6808207435413225
151;4.722840877914918;4.817294924554149;4.769912037037003;4.767224519238488
152;4.817294924554149;4.912999999999965;4.864990569272942;4.891478833146964
153;4.912999999999965;5.00996433470504;4.961324245541802;4.937532656374693
154;5.00996433470504;5.108196159122048;5.05892129629626;5.101147970115523
155;5.108196159122048;5.207703703703666;5.157789951988989;5.159929707888358
156;5.207703703703666;5.308495198902568;5.257938443072664;5.217748531074005
157;5.308495198902568;5.410578875171429;5.359374999999961;5.359977224772643
158;5.410578875171429;5.513962962962923;5.4621078532235545;5.425369264405108
159;5.513962962962923;5.6186556927297255;5.566145233196119;5.524921382821813
160;5.6186556927297255;5.724665294924512;5.671495370370329;5.687383295682619
161;5.724665294924512;5.831999999999957;5.77816649519886;5.814117142500806
162;5.831999999999957;5.940668038408735;5.886166838134388;5.833391939554632
163;5.940668038408735;6.050677640603522;5.995504629629585;6.039597628815097
164;6.050677640603522;6.162037037036992;6.106188100137129;6.142242447038536
165;6.162037037036992;6.274754458161819;6.218225480109694;6.2234850827789305
166;6.274754458161819;6.38883813443068;6.331624999999953;6.3585908020984965
167;6.38883813443068;6.504296296296248;6.446394890260583;6.448022183656176
168;6.504296296296248;6.621137174211199;6.562543381344258;6.548728517330324
169;6.621137174211199;6.7393689986282075;6.6800787037036535;6.624614190052597
170;6.7393689986282075;6.8589999999999485;6.799009087791444;6.791173077986079
171;6.8589999999999485;6.980038408779097;6.919342764060304;6.963332192721174
172;6.980038408779097;7.102492455418328;7.0410879629629095;7.075113255948198
173;7.102492455418328;7.226370370370316;7.164252914951935;7.178362655685873
174;7.226370370370316;7.351680384087736;7.288845850480055;7.227844865411091
175;7.351680384087736;7.478430727023263;7.4148749999999435;7.356795257399592
176;7.478430727023263;7.6066296296295715;7.542348593964277;7.54200106760985
177;7.6066296296295715;7.736285322359337;7.67127486282573;7.645012171660197
178;7.736285322359337;7.867406035665235;7.801662037036977;7.759761704516944
179;7.867406035665235;7.999999999999939;7.933518347050693;7.920221186622169
